"","ID","PropertyDetails.PropertyAddress","PropertyDetails.PostalAddressForThisAssessment"
"1873",307581,"233 Hillingdon Street Dunedin","233 Hillingdon Street Dunedin 9010"
"1874",307582,"229 Hillingdon Street Dunedin","229 Hillingdon Street Dunedin 9010"
"1875",307583,"227 Hillingdon Street Dunedin","227 Hillingdon Street Dunedin 9010"
"1876",307584,"225 Hillingdon Street Dunedin","225 Hillingdon Street Dunedin 9010"
"1877",307585,"223 Hillingdon Street Dunedin","223 Hillingdon Street Dunedin 9010"
"1878",307586,"215 Hillingdon Street Dunedin","215 Hillingdon Street Dunedin 9010"
"1879",307587,"142 Rolla Street Dunedin","142 Rolla Street Dunedin 9010"
"1880",307588,"150 Rolla Street Dunedin","150 Rolla Street Dunedin 9010"
"1881",307589,"152 Rolla Street Dunedin",NA
"1882",307590,"156 Rolla Street Dunedin","156 Rolla Street Dunedin 9010"
"1883",307591,"158 Rolla Street Dunedin","158 Rolla Street Dunedin 9010"
"1884",307592,"160 Rolla Street Dunedin","160 Rolla Street Dunedin 9010"
"1885",307594,"135 Rolla Street Dunedin","135 Rolla Street Dunedin 9010"
"1886",307595,"131 Rolla Street Dunedin","131 Rolla Street Dunedin 9010"
"1887",307596,"129 Rolla Street Dunedin","129 Rolla Street Dunedin 9010"
"1888",307597,"127 Rolla Street Dunedin","35 Crosby Street Dunedin 9011"
"1889",307598,"123 Rolla Street Dunedin","123 Rolla Street Dunedin 9010"
"1890",307599,"117 Rolla Street Dunedin","117 Rolla Street Dunedin 9010"
"1891",307600,"119 Rolla Street Dunedin","37 Montrose Road Montrose TAS 7010 AUSTRALIA"
"1892",307601,"19 Antrim Street Dunedin","12 Platform Way Prebbleton 7604"
"1893",307602,"17 Antrim Street Dunedin","PO Box 36 Dipton 9752"
"1894",307603,"15 Antrim Street Dunedin","23A King Street Mosgiel 9024"
"1895",307604,"11 Antrim Street Dunedin","154 Kenmure Road Dunedin 9011"
"1896",307605,"9 Antrim Street Dunedin","172/17 Moo 15 Mittapharb Modern Home Tambon Phalap Ampur Muang Khon Kaen 4000 THAILAND"
"1897",307606,"125 Rolla Street Dunedin","125 Rolla Street Dunedin 9010"
"1898",307607,"454 North Road Dunedin","PO Box 8882 Symonds Street Auckland 1150"
"1899",307608,"456 North Road Dunedin","456 North Road Dunedin 9010"
"1900",307609,"458 North Road Dunedin","458 North Road Dunedin 9010"
"1901",307610,"460 North Road Dunedin","460 North Road Dunedin 9010"
"1902",307611,"462 North Road Dunedin","462 North Road Dunedin 9010"
"1903",307612,"464 North Road Dunedin","464 North Road Dunedin 9010"
"1904",307613,"466 North Road Dunedin","1142 Owaka Highway RD 1 Balclutha 9271"
"1905",307614,"137 Rolla Street Dunedin","137 Rolla Street Dunedin 9010"
"1906",307615,"139 Rolla Street Dunedin","139 Rolla Street Dunedin 9010"
"1907",307616,"480 North Road Dunedin","C/O Kay Pringle Family Trust 44 Shannon Street Alexandra 9320"
"1908",307617,"482 North Road Dunedin","482 North Road Dunedin 9010"
"1909",307618,"484 North Road Dunedin","Scott Family Trust 14 Antrim Street Dunedin 9010"
"1910",307619,"486 North Road Dunedin","486 North Road Dunedin 9010"
"1911",307620,"488 North Road Dunedin","221 Dukes Road North RD 2 Mosgiel 9092"
"1912",307621,"490 North Road Dunedin","490 North Road Dunedin 9010"
"1913",307622,"6 Trafalgar Street Dunedin","6 Trafalgar Street Dunedin 9010"
"1914",307623,"2 Trafalgar Street Dunedin","2 Trafalgar Street Dunedin 9010"
"1915",307624,"6 Uxbridge Street Dunedin","6 Uxbridge Street Dunedin 9010"
"1916",307625,"4 Uxbridge Street Dunedin","4 Uxbridge Street Dunedin 9010"
"1917",307626,"8 Uxbridge Street Dunedin","37 Oxley Crescent Broad Bay Dunedin 9014"
"1918",307627,"14 Uxbridge Street Dunedin","14 Uxbridge Street Dunedin 9010"
"1919",307628,"16 Uxbridge Street Dunedin","16 Uxbridge Street Dunedin 9010"
"1920",307629,"18 Uxbridge Street Dunedin","18 Uxbridge Street Dunedin 9010"
"1921",307630,"20 Uxbridge Street Dunedin","20 Uxbridge Street Dunedin 9010"
"1922",307631,"24 Uxbridge Street Dunedin","24 Uxbridge Street Dunedin 9010"
"1923",307632,"26 Uxbridge Street Dunedin","26 Uxbridge Street Dunedin 9010"
"1924",307633,"28 Uxbridge Street Dunedin","28 Uxbridge Street Dunedin 9010"
"1925",307634,"29 Uxbridge Street Dunedin","Hale Family Trust 29 Uxbridge Street Dunedin 9010"
"1926",307635,"329 Hillingdon Street Dunedin","329 Hillingdon Street Dunedin 9010"
"1927",307636,"27 Uxbridge Street Dunedin","27 Uxbridge Street Dunedin 9010"
"1928",307637,"23 Uxbridge Street Dunedin","23 Uxbridge Street Dunedin 9010"
"1929",307638,"21 Uxbridge Street Dunedin","21 Uxbridge Street Dunedin 9010"
"1930",307639,"19 Uxbridge Street Dunedin","19 Uxbridge Street Dunedin 9010"
"1931",307641,"11 Uxbridge Street Dunedin","11 Uxbridge Street Dunedin 9010"
"1932",307642,"5 Uxbridge Street Dunedin","5 Uxbridge Street Dunedin 9010"
"1933",307643,"7 Uxbridge Street Dunedin","7 Uxbridge Street Dunedin 9010"
"1934",307645,"530 North Road Dunedin","26 Ainslee Place Dunedin 9010"
"1935",307646,"546 North Road Dunedin","546 North Road Dunedin 9010"
"1936",307647,"548 North Road Dunedin","548 North Road Dunedin 9010"
"1937",307648,"586 North Road Dunedin","586 North Road Dunedin 9010"
"1938",307649,"831 North Road Dunedin","831 North Road RD 2 Waitati 9085"
"1939",307650,"8 Mount Cargill Road Waitati","Corrandulla Estate Trust PO Box 2398 South Dunedin Dunedin 9044"
"1940",307651,"29 Corsall Street Dunedin","PO Box 8039 Gardens Dunedin 9041"
"1941",307652,"2 Upper Junction Road Upper Junction","2 Upper Junction Road RD 2 Waitati 9085"
"1942",307653,"6 Upper Junction Road Upper Junction","C/O Bellbird Heights 6 Upper Junction Road RD 2 Waitati 9085"
"1943",307654,"22 Corsall Street Dunedin","22 Corsall Street RD 2 Waitati 9085"
"1944",307655,"738 North Road Dunedin","PO Box 6072 Dunedin North Dunedin 9059"
"1945",307656,"68 Montague Street Dunedin","68 Montague Street Dunedin 9010"
"1946",307658,"226 Signal Hill Road Dunedin","16 St Heliers Court Dunedin 9011"
"1947",307659,"682 North Road Dunedin","A E and F L Sizemore Family Trust 682 North Road RD 2 Waitati 9085"
"1948",307660,"50 Nisbet Street Dunedin","The Bali Hai Trust 19 Mount Cargill Road RD 2 Waitati 9085"
"1949",307661,"860 North Road Dunedin","PO Box 4008 St Kilda Dunedin 9046"
"1950",307662,"864 North Road Dunedin","A J &ampM J Campbell Family Trust 864 North Road RD 2 Waitati 9085"
"1951",307663,"119 Nisbet Street Dunedin","119 Nisbet Street RD 2 Waitati 9085"
"1952",307664,"79 Nisbet Street Dunedin","PO Box 8020 Gardens Dunedin 9041"
"1953",307665,"PT SEC 6 Cleghorn Street Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"1954",307666,"253 Signal Hill Road Dunedin","C/O J L L PO Box 165 Shortland Street Auckland 1140"
"1955",307667,"247 Signal Hill Road Dunedin","495 Signal Hill Road Dunedin 9010"
"1956",307668,"241 Signal Hill Road Dunedin","PO Box 15068 Waihola 9243"
"1957",307669,"261 Signal Hill Road Dunedin","C/O Downie Stewart PO Box 1345 Dunedin 9054"
"1958",307670,"259 Signal Hill Road Dunedin","PO Box 8109 Gardens Dunedin 9041"
"1959",307671,"245 Signal Hill Road Dunedin","PO Box 6040 Dunedin North Dunedin 9059"
"1960",307674,"309 Signal Hill Road Dunedin","PO Box 8046 Gardens Dunedin 9041"
"1961",307675,"633 North Road Dunedin","G and B Moore Family Trust 633 North Road RD 2 Waitati 9085"
"1962",307676,"649 North Road Dunedin","655 North Road Dunedin 9010"
"1963",307677,"664 North Road Dunedin","F K and C K Pearson No 2 Trust 648 North Road Dunedin 9010"
"1964",307678,"588 North Road Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"1965",307679,"215 Signal Hill Road Dunedin","254 Chain Hills Road RD 1 Dunedin 9076"
"1966",307680,"213 Signal Hill Road Dunedin","213 Signal Hill Road Dunedin 9010"
"1967",307681,"211 Signal Hill Road Dunedin","211 Signal Hill Road Dunedin 9010"
"1968",307682,"209 Signal Hill Road Dunedin","209 Signal Hill Road Dunedin 9010"
"1969",307683,"207 Signal Hill Road Dunedin","207 Signal Hill Road Dunedin 9010"
"1970",307684,"205 Signal Hill Road Dunedin","205 Signal Hill Road Dunedin 9010"
"1971",307685,"203 Signal Hill Road Dunedin","203 Signal Hill Road Dunedin 9010"
"1972",307686,"201 Signal Hill Road Dunedin","201 Signal Hill Road Dunedin 9010"
"1973",307687,"199 Signal Hill Road Dunedin","199 Signal Hill Road Dunedin 9010"
"1974",307688,"197 Signal Hill Road Dunedin","197 Signal Hill Road Dunedin 9010"
"1975",307689,"195 Signal Hill Road Dunedin","195 Signal Hill Road Dunedin 9010"
"1976",307690,"193 Signal Hill Road Dunedin","193 Signal Hill Road Dunedin 9010"
"1977",307691,"191 Signal Hill Road Dunedin","191 Signal Hill Road Dunedin 9010"
"1978",307692,"179 Evans Street Dunedin","179 Evans Street Dunedin 9010"
"1979",307693,"190 Evans Street Dunedin","190 Evans Street Dunedin 9010"
"1980",307694,"188 Evans Street Dunedin","188 Evans Street Dunedin 9010"
"1981",307695,"194 Evans Street Dunedin","Jackie Wells Family Trust 194 Evans Street Dunedin 9010"
"1982",307696,"186 Evans Street Dunedin","186 Evans Street Dunedin 9010"
"1983",307698,"183 Evans Street Dunedin","183 Evans Street Dunedin 9010"
"1984",307699,"150 Evans Street Dunedin","150 Evans Street Dunedin 9010"
"1985",307700,"187 Evans Street Dunedin","PO Box 7179 Mornington Dunedin 9040"
"1986",307701,"196 Evans Street Dunedin","196 Evans Street Dunedin 9010"
"1987",307702,"192 Evans Street Dunedin","192 Evans Street Dunedin 9010"
"1988",307703,"189 Evans Street Dunedin","189 Evans Street Dunedin 9010"
"1989",307704,"184 Evans Street Dunedin","184 Evans Street Dunedin 9010"
"1990",307705,"176 Evans Street Dunedin","176 Evans Street Dunedin 9010"
"1991",307706,"175 Evans Street Dunedin","PO Box 54 Balclutha 9240"
"1992",307707,"185 Evans Street Dunedin","185 Evans Street Dunedin 9010"
"1993",307708,"174 Evans Street Dunedin","C/O Property Scouts PO Box 5127 Moray Place Dunedin 9058"
"1994",307709,"181 Evans Street Dunedin","181 Evans Street Dunedin 9010"
"1995",307710,"173 Evans Street Dunedin","173 Evans Street Dunedin 9010"
"1996",307711,"178 Evans Street Dunedin","178 Evans Street Dunedin 9010"
"1997",307712,"177 Evans Street Dunedin","47 Kelvin Road Dunedin 9010"
"1998",307713,"191 Evans Street Dunedin","235 Upper Junction Road Sawyers Bay Port Chalmers 9023"
"1999",307714,"210 Signal Hill Road Dunedin","210 Signal Hill Road Dunedin 9010"
"2000",307715,"344 Signal Hill Road Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2001",307721,"210 Blacks Road Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2002",307722,"1 Torridon Street Dunedin","PO Box 8018 Gardens Dunedin 9041"
"2003",307723,"129 Opoho Road Dunedin","129 Opoho Road Dunedin 9010"
"2004",307724,"2 Warden Street Dunedin","2 Warden Street Dunedin 9010"
"2005",307725,"6 Warden Street Dunedin","6 Warden Street Dunedin 9010"
"2006",307726,"10 Warden Street Dunedin","10 Warden Street Dunedin 9010"
"2007",307727,"14 Warden Street Dunedin","Forch Cunningham Kowhai Trust 262A St Heliers Bay Road St Heliers Auckland 1071"
"2008",307728,"16 Warden Street Dunedin","1028 Mount Cargill Road RD 2 Waitati 9085"
"2009",307729,"20A Warden Street Dunedin","20A Warden Street Dunedin 9010"
"2010",307730,"20 Warden Street Dunedin","23 Northfield Avenue Dunedin 9010"
"2011",307731,"22 Warden Street Dunedin","22 Warden Street Dunedin 9010"
"2012",307732,"24 Warden Street Dunedin","1028 Mount Cargill Road RD 2 Waitati 9085"
"2013",307733,"26 Warden Street Dunedin","26 Warden Street Dunedin 9010"
"2014",307734,"28 Warden Street Dunedin","28 Warden Street Dunedin 9010"
"2015",307735,"30 Warden Street Dunedin","30 Warden Street Dunedin 9010"
"2016",307736,"34 Warden Street Dunedin","34 Warden Street Dunedin 9010"
"2017",307737,"36 Warden Street Dunedin","36 Warden Street Dunedin 9010"
"2018",307738,"38 Warden Street Dunedin","38 Warden Street Dunedin 9010"
"2019",307739,"40 Warden Street Dunedin","Callisto Trust 40 Warden Street Dunedin 9010"
"2020",307740,"42 Warden Street Dunedin","42 Warden Street Dunedin 9010"
"2021",307741,"44 Warden Street Dunedin",NA
"2022",307742,"46 Warden Street Dunedin","N I S Trust 46 Warden Street Dunedin 9010"
"2023",307743,"52 Warden Street Dunedin","52 Warden Street Dunedin 9010"
"2024",307744,"54 Warden Street Dunedin","54 Warden Street Dunedin 9010"
"2025",307745,"56 Warden Street Dunedin","56 Warden Street Dunedin 9010"
"2026",307746,"4 Mowat Street Dunedin","4 Mowat Street Dunedin 9010"
"2027",307747,"60 Warden Street Dunedin","60 Warden Street Dunedin 9010"
"2028",307748,"62 Warden Street Dunedin","62 Warden Street Dunedin 9010"
"2029",307749,"66 Warden Street Dunedin","80 Riccarton Road East East Taieri Mosgiel 9024"
"2030",307750,"68 Warden Street Dunedin","PO Box 22120 Khandallah Wellington 6441"
"2031",307751,"70 Warden Street Dunedin","70 Warden Street Dunedin 9010"
"2032",307752,"74 Warden Street Dunedin","C/O D J Shelton and P A McNeill 74 Warden Street Dunedin 9010"
"2033",307753,"76 Warden Street Dunedin","76 Warden Street Dunedin 9010"
"2034",307754,"140 Blacks Road Dunedin","140 Blacks Road Dunedin 9010"
"2035",307755,"3 Warden Street Dunedin","14 Dee Street Oamaru 9400"
"2036",307756,"5 Warden Street Dunedin","5 Warden Street Dunedin 9010"
"2037",307757,"7 Warden Street Dunedin","7 Warden Street Dunedin 9010"
"2038",307758,"9 Warden Street Dunedin","9 Warden Street Dunedin 9010"
"2039",307759,"11 Warden Street Dunedin","79 Cannington Road Dunedin 9010"
"2040",307760,"11A Warden Street Dunedin","Kotare Trust 15 Lothian Street Dunedin 9010"
"2041",307761,"15 Warden Street Dunedin","220 North Road Dunedin 9010"
"2042",307762,"17 Warden Street Dunedin","17 Warden Street Dunedin 9010"
"2043",307763,"19 Warden Street Dunedin","PO Box 6322 Dunedin North Dunedin 9059"
"2044",307764,"21 Warden Street Dunedin","A C B and T E S Molteno Family Trust PO Box 6322 Dunedin North Dunedin 9059"
"2045",307765,"23 Warden Street Dunedin","23 Warden Street Dunedin 9010"
"2046",307766,"25 Warden Street Dunedin","25 Warden Street Dunedin 9010"
"2047",307767,"25A Warden Street Dunedin","25A Warden Street Dunedin 9010"
"2048",307768,"27 Warden Street Dunedin","152 Hoopers Inlet Road RD 2 Dunedin 9077"
"2049",307769,"29 Warden Street Dunedin","29 Warden Street Dunedin 9010"
"2050",307770,"31 Warden Street Dunedin","31 Warden Street Dunedin 9010"
"2051",307771,"35 Warden Street Dunedin","35 Warden Street Dunedin 9010"
"2052",307772,"16 Farquharson Street Dunedin","16 Farquharson Street Dunedin 9010"
"2053",307773,"10 Farquharson Street Dunedin","16 Grey Street Dunedin 9010"
"2054",307774,"8 Farquharson Street Dunedin",NA
"2055",307775,"44 Signal Hill Road Dunedin","45 Signal Hill Road Dunedin 9010"
"2056",307776,"42 Signal Hill Road Dunedin","42 Signal Hill Road Dunedin 9010"
"2057",307777,"40 Signal Hill Road Dunedin","40 Signal Hill Road Dunedin 9010"
"2058",307778,"38 Signal Hill Road Dunedin","38 Signal Hill Road Dunedin 9010"
"2059",307779,"36 Signal Hill Road Dunedin","36 Signal Hill Road Dunedin 9010"
"2060",307780,"34 Signal Hill Road Dunedin","34 Signal Hill Road Dunedin 9010"
"2061",307781,"28 Signal Hill Road Dunedin","65 Warden Street Dunedin 9010"
"2062",307782,"28A Signal Hill Road Dunedin","C/O Opoho Playcentre 28A Signal Hill Road Dunedin 9010"
"2063",307783,"24 Signal Hill Road Dunedin","24 Signal Hill Road Dunedin 9010"
"2064",307784,"18 Signal Hill Road Dunedin","16 Larkins Street Dunedin 9010"
"2065",307785,"16 Signal Hill Road Dunedin","7 Seafarer Court Sandstone Point QLD 4511 AUSTRALIA"
"2066",307786,"14 Signal Hill Road Dunedin","14 Signal Hill Road Dunedin 9010"
"2067",307787,"10 Signal Hill Road Dunedin","7 Grenfell Drive Karori Wellington 6012"
"2068",307788,"8 Signal Hill Road Dunedin","8 Signal Hill Road Dunedin 9010"
"2069",307789,"2 Signal Hill Road Dunedin","White House Trust 2 Signal Hill Road Dunedin 9010"
"2070",307790,"123 Opoho Road Dunedin","123 Opoho Road Dunedin 9010"
"2071",307791,"127 Opoho Road Dunedin","14 Dee Street Oamaru 9400"
"2072",307792,"1 Warden Street Dunedin","1 Warden Street Dunedin 9010"
"2073",307793,"47 Warden Street Dunedin","47 Warden Street Dunedin 9010"
"2074",307794,"49 Warden Street Dunedin","49 Warden Street Dunedin 9010"
"2075",307795,"51 Warden Street Dunedin","51 Warden Street Dunedin 9010"
"2076",307796,"55 Warden Street Dunedin","55 Warden Street Dunedin 9010"
"2077",307797,"53 Warden Street Dunedin","29 Park View Terrace Maori Hill Timaru 7910"
"2078",307798,"57 Warden Street Dunedin","57 Warden Street Dunedin 9010"
"2079",307799,"59 Warden Street Dunedin","PO Box 5165 Moray Place Dunedin 9058"
"2080",307800,"61 Warden Street Dunedin","61 Warden Street Dunedin 9010"
"2081",307801,"63 Warden Street Dunedin","63 Warden Street Dunedin 9010"
"2082",307802,"65 Warden Street Dunedin","65 Warden Street Dunedin 9010"
"2083",307804,"67 Warden Street Dunedin","J H and C M S Cox Family Trust 67 Warden Street Dunedin 9010"
"2084",307805,"69 Warden Street Dunedin","69 Warden Street Dunedin 9010"
"2085",307806,"71 Warden Street Dunedin","71 Warden Street Dunedin 9010"
"2086",307807,"73B Warden Street Dunedin","C/O Frances Hodgkins Retirement Village 40 Fenton Crescent Dunedin 9012"
"2087",307808,"73A Warden Street Dunedin","C/O Frances Hodgkins Retirement Village 40 Fenton Crescent Dunedin 9012"
"2088",307809,"75A Warden Street Dunedin","Deaker Borrie Family Trust 75A Warden Street Dunedin 9010"
"2089",307810,"75 Warden Street Dunedin","75 Warden Street Dunedin 9010"
"2090",307811,"77 Warden Street Dunedin","77 Warden Street Dunedin 9010"
"2091",307812,"136 Blacks Road Dunedin","136 Blacks Road Dunedin 9010"
"2092",307813,"128 Blacks Road Dunedin","128 Blacks Road Dunedin 9010"
"2093",307814,"126 Blacks Road Dunedin","126 Blacks Road Dunedin 9010"
"2094",307815,"124 Blacks Road Dunedin","124 Blacks Road Dunedin 9010"
"2095",307816,"82 Signal Hill Road Dunedin","Team Wilson Trust 82 Signal Hill Road Dunedin 9010"
"2096",307817,"80 Signal Hill Road Dunedin","80 Signal Hill Road Dunedin 9010"
"2097",307818,"78 Signal Hill Road Dunedin","75 Pacific Street Dunedin 9010"
"2098",307819,"78A Signal Hill Road Dunedin","29 Beaumaris Street Outram 9019"
"2099",307820,"76 Signal Hill Road Dunedin","76 Signal Hill Road Dunedin 9010"
"2100",307821,"74 Signal Hill Road Dunedin","Cordyline Family Trust 74 Signal Hill Road Dunedin 9010"
"2101",307822,"72 Signal Hill Road Dunedin","72 Signal Hill Road Dunedin 9010"
"2102",307823,"66 Signal Hill Road Dunedin","66 Signal Hill Road Dunedin 9010"
"2103",307824,"62 Signal Hill Road Dunedin","Colquhoun-Meder Family Trust 62 Signal Hill Road Dunedin 9010"
"2104",307825,"60 Signal Hill Road Dunedin","60 Signal Hill Road Dunedin 9010"
"2105",307826,"58 Signal Hill Road Dunedin","58 Signal Hill Road Dunedin 9010"
"2106",307827,"56 Signal Hill Road Dunedin","786 Cumberland Street Dunedin 9016"
"2107",307828,"54 Signal Hill Road Dunedin","54 Signal Hill Road Dunedin 9010"
"2108",307829,"52 Signal Hill Road Dunedin","52 Signal Hill Road Dunedin 9010"
"2109",307830,"50 Signal Hill Road Dunedin","C/O Mr Brian Cunningham 26 Dalmeny Street Dunedin 9010"
"2110",307831,"11 Farquharson Street Dunedin",NA
"2111",307832,"15 Farquharson Street Dunedin","15 Farquharson Street Dunedin 9010"
"2112",307833,"19 Farquharson Street Dunedin","19 Farquharson Street Dunedin 9010"
"2113",307834,"139 Blacks Road Dunedin","139 Blacks Road Dunedin 9010"
"2114",307835,"141 Blacks Road Dunedin","Hegg Family Trust 135 Blacks Road Dunedin 9010"
"2115",307836,"135 Blacks Road Dunedin","Hegg Family Trust 135 Blacks Road Dunedin 9010"
"2116",307837,"133 Blacks Road Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2117",307838,"137 Blacks Road Dunedin","137 Blacks Road Dunedin 9010"
"2118",307839,"28 Grandview Crescent Dunedin","28 Grandview Crescent Dunedin 9010"
"2119",307840,"125 Blacks Road Dunedin","Blacks Road Partnership 125 Blacks Road Dunedin 9010"
"2120",307841,"123 Blacks Road Dunedin","123 Blacks Road Dunedin 9010"
"2121",307842,"121 Blacks Road Dunedin","121 Blacks Road Dunedin 9010"
"2122",307843,"90 Signal Hill Road Dunedin","102 Ventry Street Alexandra 9320"
"2123",307844,"92 Signal Hill Road Dunedin","89 Arthur Street Dunedin 9016"
"2124",307845,"94 Signal Hill Road Dunedin","Eliza McMillan Family Trust 94 Signal Hill Road Dunedin 9010"
"2125",307848,"104 Signal Hill Road Dunedin","84 Pukatea Street Gleniti Timaru 7910"
"2126",307849,"106 Signal Hill Road Dunedin","106 Signal Hill Road Dunedin 9010"
"2127",307850,"2 Grandview Crescent Dunedin","2 Grandview Crescent Dunedin 9010"
"2128",307851,"6 Grandview Crescent Dunedin","6 Grandview Crescent Dunedin 9010"
"2129",307852,"8 Grandview Crescent Dunedin","8 Grandview Crescent Dunedin 9010"
"2130",307853,"10 Grandview Crescent Dunedin","10 Grandview Crescent Dunedin 9010"
"2131",307854,"10A Grandview Crescent Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2132",307855,"12 Grandview Crescent Dunedin","Other Cat Trust 12 Grandview Crescent Dunedin 9010"
"2133",307856,"14 Grandview Crescent Dunedin","14 Grandview Crescent Dunedin 9010"
"2134",307857,"16A Grandview Crescent Dunedin","143A Copacabana Drive Copacabana NSW 2251 AUSTRALIA"
"2135",307858,"16B Grandview Crescent Dunedin","C/O L Darling PO Box 6025 Dunedin North Dunedin 9059"
"2136",307859,"18 Grandview Crescent Dunedin","18 Grandview Crescent Dunedin 9010"
"2137",307860,"20 Grandview Crescent Dunedin","20 Grandview Crescent Dunedin 9010"
"2138",307861,"22 Grandview Crescent Dunedin","22 Grandview Crescent Dunedin 9010"
"2139",307862,"24 Grandview Crescent Dunedin","24 Grandview Crescent Dunedin 9010"
"2140",307863,"26 Grandview Crescent Dunedin","26 Grandview Crescent Dunedin 9010"
"2141",307864,"30 Grandview Crescent Dunedin","30 Grandview Crescent Dunedin 9010"
"2142",307865,"32 Grandview Crescent Dunedin","32 Grandview Crescent Dunedin 9010"
"2143",307866,"34 Grandview Crescent Dunedin","Ancrum Family Trust 34 Grandview Crescent Dunedin 9010"
"2144",307867,"36 Grandview Crescent Dunedin","36 Grandview Crescent Dunedin 9010"
"2145",307868,"38 Grandview Crescent Dunedin","38 Grandview Crescent Dunedin 9010"
"2146",307869,"40 Grandview Crescent Dunedin","40 Grandview Crescent Dunedin 9010"
"2147",307870,"42 Grandview Crescent Dunedin","42 Grandview Crescent Dunedin 9010"
"2148",307872,"144 Signal Hill Road Dunedin","144 Signal Hill Road Dunedin 9010"
"2149",307873,"3 Grandview Crescent Dunedin","3 Grandview Crescent Dunedin 9010"
"2150",307874,"5 Grandview Crescent Dunedin","5 Grandview Crescent Dunedin 9010"
"2151",307875,"7 Grandview Crescent Dunedin","7 Grandview Crescent Dunedin 9010"
"2152",307876,"15 Grandview Crescent Dunedin","15 Grandview Crescent Dunedin 9010"
"2153",307877,"17 Grandview Crescent Dunedin","17 Grandview Crescent Dunedin 9010"
"2154",307878,"19 Grandview Crescent Dunedin","258 Vaile Road RD 6 Hamilton 3286"
"2155",307879,"21 Grandview Crescent Dunedin","21 Grandview Crescent Dunedin 9010"
"2156",307880,"23 Grandview Crescent Dunedin","23 Grandview Crescent Dunedin 9010"
"2157",307881,"25 Grandview Crescent Dunedin","25 Grandview Crescent Dunedin 9010"
"2158",307882,"27 Grandview Crescent Dunedin","27 Grandview Crescent Dunedin 9010"
"2159",307883,"29 Grandview Crescent Dunedin","C J and A J Marslin Family Trust 29 Grandview Crescent Dunedin 9010"
"2160",307884,"31 Grandview Crescent Dunedin","31 Grandview Crescent Dunedin 9010"
"2161",307885,"35 Grandview Crescent Dunedin","35 Grandview Crescent Dunedin 9010"
"2162",307886,"37 Grandview Crescent Dunedin","37 Grandview Crescent Dunedin 9010"
"2163",307887,"39 Grandview Crescent Dunedin","39 Grandview Crescent Dunedin 9010"
"2164",307888,"41 Grandview Crescent Dunedin","41 Grandview Crescent Dunedin 9010"
"2165",307889,"140 Signal Hill Road Dunedin","434A Marshall Road RD 54 Kimbolton 4774"
"2166",307890,"138 Signal Hill Road Dunedin","4972 PO Box 83000 Johnsonville Wellington 6440"
"2167",307891,"136 Signal Hill Road Dunedin","136 Signal Hill Road Dunedin 9010"
"2168",307892,"134 Signal Hill Road Dunedin","134 Signal Hill Road Dunedin 9010"
"2169",307893,"132 Signal Hill Road Dunedin","132 Signal Hill Road Dunedin 9010"
"2170",307894,"130 Signal Hill Road Dunedin","130 Signal Hill Road Dunedin 9010"
"2171",307895,"128 Signal Hill Road Dunedin","128 Signal Hill Road Dunedin 9010"
"2172",307896,"126 Signal Hill Road Dunedin","17A Law Street Dunedin 9012"
"2173",307897,"122 Signal Hill Road Dunedin","7/7 Patterson Street Sandringham Auckland 1041"
"2174",307898,"120 Signal Hill Road Dunedin",NA
"2175",307899,"118 Signal Hill Road Dunedin","118 Signal Hill Road Dunedin 9010"
"2176",307900,"116 Signal Hill Road Dunedin","159 Pine Hill Road Dunedin 9010"
"2177",307901,"114 Signal Hill Road Dunedin","114 Signal Hill Road Dunedin 9010"
"2178",307902,"112 Signal Hill Road Dunedin","112 Signal Hill Road Dunedin 9010"
"2179",307903,"110 Signal Hill Road Dunedin","110 Signal Hill Road Dunedin 9010"
"2180",307904,"1 Signal Hill Road Dunedin","109 Opoho Road Dunedin 9010"
"2181",307907,"7 Signal Hill Road Dunedin","7 Signal Hill Road Dunedin 9010"
"2182",307908,"8A Balmoral Street Dunedin","A E Broad Family and H J Calvert Family Trusts PO Box 5349 Moray Place Dunedin 9058"
"2183",307909,"8B Balmoral Street Dunedin","A E Broad Family and H J Calvert Family Trusts PO Box 5349 Moray Place Dunedin 9058"
"2184",307910,"16 Hatfield Street Dunedin","31 Evans Street Dunedin 9010"
"2185",307911,"14 Hatfield Street Dunedin","14 Hatfield Street Dunedin 9010"
"2186",307912,"12 Hatfield Street Dunedin","Frangipani Trust 12 Hatfield Street Dunedin 9010"
"2187",307913,"8 Hatfield Street Dunedin","8 Hatfield Street Dunedin 9010"
"2188",307914,"4 Hatfield Street Dunedin","4 Hatfield Street Dunedin 9010"
"2189",307915,"2 Hatfield Street Dunedin","B J Kennedy Family Trust PO Box 12048 Maori Hill Dunedin 9043"
"2190",307916,"103 Opoho Road Dunedin","103 Opoho Road Dunedin 9010"
"2191",307917,"105 Opoho Road Dunedin","Hill Calvert Family Trust 27 Beale Street Hamilton East Hamilton 3216"
"2192",307918,"109 Opoho Road Dunedin","109 Opoho Road Dunedin 9010"
"2193",307919,"11 Hatfield Street Dunedin","11 Hatfield Street Dunedin 9010"
