"","ID","PropertyDetails.PropertyAddress","PropertyDetails.PostalAddressForThisAssessment"
"777",317816,"36 Mitchell Avenue Dunedin","Private Bag 1941 Dunedin 9054"
"778",317817,"31 Benhar Street Dunedin","Private Bag 1941 Dunedin 9054"
"779",317818,"17 Benhar Street Dunedin","17 Benhar Street Dunedin 9011"
"780",317819,"15 Benhar Street Dunedin","15 Benhar Street Dunedin 9011"
"781",317820,"13 Benhar Street Dunedin","13 Benhar Street Dunedin 9011"
"782",317821,"11 Benhar Street Dunedin","11 Benhar Street Dunedin 9011"
"783",317822,"9 Benhar Street Dunedin","9 Benhar Street Dunedin 9011"
"784",317823,"7 Benhar Street Dunedin","7 Benhar Street Dunedin 9011"
"785",317824,"5 Benhar Street Dunedin",NA
"786",317825,"3 Benhar Street Dunedin",NA
"787",317826,"1 Benhar Street Dunedin","1 Benhar Street Dunedin 9011"
"788",317827,"139 Elgin Road Dunedin","139 Elgin Road Dunedin 9011"
"789",317828,"4 Mitchell Avenue Dunedin","Brian and Penny Anderson Family Trust 4 Mitchell Avenue Dunedin 9011"
"790",317829,"6A Mitchell Avenue Dunedin","6A Mitchell Avenue Dunedin 9011"
"791",317830,"6B Mitchell Avenue Dunedin","6B Mitchell Avenue Dunedin 9011"
"792",317831,"6C Mitchell Avenue Dunedin","6C Mitchell Avenue Dunedin 9011"
"793",317832,"8 Mitchell Avenue Dunedin","8 Mitchell Avenue Dunedin 9011"
"794",317833,"10 Mitchell Avenue Dunedin","7 Argyle Street Dunedin 9011"
"795",317834,"12 Mitchell Avenue Dunedin","Pleace and Dale Family Trust 12 Mitchell Avenue Dunedin 9011"
"796",317835,"14 Mitchell Avenue Dunedin","12 Mitchell Avenue Dunedin 9011"
"797",317836,"14A Mitchell Avenue Dunedin","W L and R W Coppin Family Trust 14A Mitchell Avenue Dunedin 9011"
"798",317837,"16 Mitchell Avenue Dunedin","16 Mitchell Avenue Dunedin 9011"
"799",317838,"18 Mitchell Avenue Dunedin","8 Pimble Avenue Karori Wellington 6012"
"800",317839,"20 Mitchell Avenue Dunedin","20 Mitchell Avenue Dunedin 9011"
"801",317840,"22 Mitchell Avenue Dunedin","22 Mitchell Avenue Dunedin 9011"
"802",317841,"26 Mitchell Avenue Dunedin","26 Mitchell Avenue Dunedin 9011"
"803",317842,"24 Mitchell Avenue Dunedin","130 Glenpark Avenue Dunedin 9011"
"804",317843,"28 Mitchell Avenue Dunedin","28 Mitchell Avenue Dunedin 9011"
"805",317844,"30 Benhar Street Dunedin","30 Benhar Street Dunedin 9011"
"806",317845,"32 Benhar Street Dunedin","32 Benhar Street Dunedin 9011"
"807",317846,"22 Bridger Street Dunedin","22 Bridger Street Dunedin 9011"
"808",317847,"24 Bridger Street Dunedin","5 Orchard Grove East Taieri Mosgiel 9024"
"809",317848,"28 Bridger Street Dunedin","28 Bridger Street Dunedin 9011"
"810",317849,"30 Bridger Street Dunedin","30 Bridger Street Dunedin 9011"
"811",317850,"32 Bridger Street Dunedin","32 Bridger Street Dunedin 9011"
"812",317851,"40 Bridger Street Dunedin","40 Bridger Street Dunedin 9011"
"813",317852,"42 Bridger Street Dunedin","42 Bridger Street Dunedin 9011"
"814",317853,"44 Bridger Street Dunedin","44 Bridger Street Dunedin 9011"
"815",317854,"46 Bridger Street Dunedin","46 Bridger Street Dunedin 9011"
"816",317855,"48 Bridger Street Dunedin","48 Bridger Street Dunedin 9011"
"817",317856,"50 Bridger Street Dunedin","50 Bridger Street Dunedin 9011"
"818",317857,"52 Bridger Street Dunedin","52 Bridger Street Dunedin 9011"
"819",317858,"164 Glenpark Avenue Dunedin","164 Glenpark Avenue Dunedin 9011"
"820",317859,"166 Glenpark Avenue Dunedin","166 Glenpark Avenue Dunedin 9011"
"821",317860,"168 Glenpark Avenue Dunedin","168 Glenpark Avenue Dunedin 9011"
"822",317861,"170 Glenpark Avenue Dunedin","141 Forfar Street Dunedin 9011"
"823",317862,"172 Glenpark Avenue Dunedin","172 Glenpark Avenue Dunedin 9011"
"824",317863,"174 Glenpark Avenue Dunedin","174 Glenpark Avenue Dunedin 9011"
"825",317864,"108 Oakwood Avenue Dunedin","108 Oakwood Avenue Dunedin 9011"
"826",317865,"112 Oakwood Avenue Dunedin","112 Oakwood Avenue Dunedin 9011"
"827",317866,"114 Oakwood Avenue Dunedin","114 Oakwood Avenue Dunedin 9011"
"828",317867,"116 Oakwood Avenue Dunedin","116 Oakwood Avenue Dunedin 9011"
"829",317868,"118 Oakwood Avenue Dunedin","118 Oakwood Avenue Dunedin 9011"
"830",317869,"122 Oakwood Avenue Dunedin","Tayaka Family Trust 56 Oakwood Avenue Dunedin 9011"
"831",317870,"124 Oakwood Avenue Dunedin","124 Oakwood Avenue Dunedin 9011"
"832",317871,"128 Oakwood Avenue Dunedin","128 Oakwood Avenue Dunedin 9011"
"833",317872,"130 Oakwood Avenue Dunedin","130 Oakwood Avenue Dunedin 9011"
"834",317873,"132 Oakwood Avenue Dunedin","44 Short Street Invercargill 9810"
"835",317874,"16 Renfrew Street Dunedin","16 Renfrew Street Dunedin 9011"
"836",317875,"14 Renfrew Street Dunedin","38 Holyport Close Fairfield Dunedin 9018"
"837",317876,"9 Renfrew Street Dunedin","9 Renfrew Street Dunedin 9011"
"838",317877,"22 Renfrew Street Dunedin","22 Renfrew Street Dunedin 9011"
"839",317878,"20 Renfrew Street Dunedin","20 Renfrew Street Dunedin 9011"
"840",317879,"19 Renfrew Street Dunedin","19 Renfrew Street Dunedin 9011"
"841",317880,"23 Renfrew Street Dunedin","23 Renfrew Street Dunedin 9011"
"842",317881,"24 Renfrew Street Dunedin","24 Renfrew Street Dunedin 9011"
"843",317882,"25 Renfrew Street Dunedin","25 Renfrew Street Dunedin 9011"
"844",317883,"21 Renfrew Street Dunedin","70 Centennial Avenue Dunedin 9010"
"845",317884,"26 Renfrew Street Dunedin","26 Renfrew Street Dunedin 9011"
"846",317885,"18 Renfrew Street Dunedin","Simmons Family Trust 18 Renfrew Street Dunedin 9011"
"847",317886,"15 Renfrew Street Dunedin","15 Renfrew Street Dunedin 9011"
"848",317887,"17 Renfrew Street Dunedin","17 Renfrew Street Dunedin 9011"
"849",317888,"11 Renfrew Street Dunedin","11 Renfrew Street Dunedin 9011"
"850",317889,"27 Forbes Street Dunedin","27 Forbes Street Dunedin 9011"
"851",317890,"25 Forbes Street Dunedin","25 Forbes Street Dunedin 9011"
"852",317891,"23 Forbes Street Dunedin","23 Forbes Street Dunedin 9011"
"853",317892,"21 Forbes Street Dunedin","21 Forbes Street Dunedin 9011"
"854",317893,"19 Forbes Street Dunedin","45A Patteson Avenue Mission Bay Auckland 1071"
"855",317894,"17 Forbes Street Dunedin","17 Forbes Street Dunedin 9011"
"856",317895,"37 Scoular Street Dunedin","37 Scoular Street Dunedin 9011"
"857",317896,"35 Scoular Street Dunedin","PO Box 127 Kirwee 7543"
"858",317897,"33 Scoular Street Dunedin","33 Scoular Street Dunedin 9011"
"859",317898,"31 Scoular Street Dunedin","31 Scoular Street Dunedin 9011"
"860",317899,"27 Scoular Street Dunedin","27 Scoular Street Dunedin 9011"
"861",317900,"23 Scoular Street Dunedin","20 Miller Street Green Island Dunedin 9018"
"862",317901,"19 Scoular Street Dunedin","19 Scoular Street Dunedin 9011"
"863",317902,"15 Scoular Street Dunedin","15 Scoular Street Dunedin 9011"
"864",317903,"11 Scoular Street Dunedin","11 Scoular Street Dunedin 9011"
"865",317904,"9 Scoular Street Dunedin","9 Scoular Street Dunedin 9011"
"866",317905,"7 Scoular Street Dunedin","7 Scoular Street Dunedin 9011"
"867",317906,"1 Scoular Street Dunedin","1 Scoular Street Dunedin 9011"
"868",317907,"16 Benhar Street Dunedin","16 Benhar Street Dunedin 9011"
"869",317908,"18 Benhar Street Dunedin","18 Benhar Street Dunedin 9011"
"870",317909,"20 Benhar Street Dunedin","20 Benhar Street Dunedin 9011"
"871",317910,"22 Benhar Street Dunedin","22 Benhar Street Dunedin 9011"
"872",317911,"24 Benhar Street Dunedin","24 Benhar Street Dunedin 9011"
"873",317912,"26 Benhar Street Dunedin","26 Benhar Street Dunedin 9011"
"874",317913,"28 Benhar Street Dunedin","28 Benhar Street Dunedin 9011"
"875",317914,"6 Benhar Street Dunedin","43B Aberdeen Road Dunedin 9012"
"876",317915,"8 Benhar Street Dunedin","8 Benhar Street Dunedin 9011"
"877",317916,"8 Scoular Street Dunedin","McHilkenhart Trust 8 Scoular Street Dunedin 9011"
"878",317917,"10 Scoular Street Dunedin","10 Scoular Street Dunedin 9011"
"879",317918,"12 Scoular Street Dunedin","12 Scoular Street Dunedin 9011"
"880",317919,"14 Scoular Street Dunedin","14 Scoular Street Dunedin 9011"
"881",317920,"16 Scoular Street Dunedin","16 Scoular Street Dunedin 9011"
"882",317921,"18 Scoular Street Dunedin","18 Scoular Street Dunedin 9011"
"883",317922,"20 Scoular Street Dunedin","20 Scoular Street Dunedin 9011"
"884",317923,"22 Scoular Street Dunedin","9 Oakland Street Dunedin 9013"
"885",317924,"30 Scoular Street Dunedin","30 Scoular Street Dunedin 9011"
"886",317925,"32 Scoular Street Dunedin","32 Scoular Street Dunedin 9011"
"887",317926,"34 Scoular Street Dunedin","8 Gourley Street Dunedin 9012"
"888",317927,"36 Scoular Street Dunedin",NA
"889",317928,"7 Forbes Street Dunedin","7 Forbes Street Dunedin 9011"
"890",317929,"3 Forbes Street Dunedin","3 Forbes Street Dunedin 9011"
"891",317930,"191 Elgin Road Dunedin","Harrison Family Trust 191 Elgin Road Dunedin 9011"
"892",317931,"189 Elgin Road Dunedin","18 Tomkins Street Green Island Dunedin 9018"
"893",317932,"187 Elgin Road Dunedin","187 Elgin Road Dunedin 9011"
"894",317933,"185 Elgin Road Dunedin","185 Elgin Road Dunedin 9011"
"895",317934,"183 Elgin Road Dunedin","183 Elgin Road Dunedin 9011"
"896",317935,"181 Elgin Road Dunedin","181 Elgin Road Dunedin 9011"
"897",317936,"179 Elgin Road Dunedin","179 Elgin Road Dunedin 9011"
"898",317937,"177 Elgin Road Dunedin","139 Elgin Road Dunedin 9011"
"899",317938,"169 Elgin Road Dunedin","169 Elgin Road Dunedin 9011"
"900",317939,"167 Elgin Road Dunedin","167 Elgin Road Dunedin 9011"
"901",317940,"165 Elgin Road Dunedin","2C Mercer Street Dunedin 9011"
"902",317941,"163 Elgin Road Dunedin",NA
"903",317942,"161 Elgin Road Dunedin","161 Elgin Road Dunedin 9011"
"904",317943,"4 Benhar Street Dunedin","4 Benhar Street Dunedin 9011"
"905",317944,"4 Forbes Street Dunedin","PO Box 31624 Lower Hutt 5040"
"906",317945,"2 Forbes Street Dunedin","2 Forbes Street Dunedin 9011"
"907",317946,"201 Elgin Road Dunedin","333 Leith Street Dunedin 9016"
"908",317947,"203 Elgin Road Dunedin","33 Stanley Street Dunedin 9011"
"909",317948,"5 Wills Street Dunedin","5 Wills Street Dunedin 9011"
"910",317949,"7 Wills Street Dunedin","7 Wills Street Dunedin 9011"
"911",317950,"9 Wills Street Dunedin","36 City Road Dunedin 9010"
"912",317951,"11 Wills Street Dunedin",NA
"913",317952,"13 Wills Street Dunedin","13 Wills Street Dunedin 9011"
"914",317953,"15 Wills Street Dunedin","3 Jalan Bukit Segar 7 Bukit Segar. Cheras 56100 Kuala Lumpur MALAYSIA"
"915",317954,"19 Wills Street Dunedin","19 Wills Street Dunedin 9011"
"916",317955,"21 Wills Street Dunedin","21 Wills Street Dunedin 9011"
"917",317956,"23 Wills Street Dunedin","23 Wills Street Dunedin 9011"
"918",317957,"25 Wills Street Dunedin","31 Heathfield Drive Mosgiel 9024"
"919",317958,"27 Wills Street Dunedin","27 Wills Street Dunedin 9011"
"920",317959,"29 Wills Street Dunedin","29 Wills Street Dunedin 9011"
"921",317960,"31 Wills Street Dunedin","60 Chain Hills Road RD 1 Dunedin 9076"
"922",317961,"1 Renfrew Street Dunedin","1 Renfrew Street Dunedin 9011"
"923",317962,"28 Forbes Street Dunedin",NA
"924",317963,"26 Forbes Street Dunedin","26 Forbes Street Dunedin 9011"
"925",317964,"24 Forbes Street Dunedin","24 Forbes Street Dunedin 9011"
"926",317965,"22 Forbes Street Dunedin","22 Forbes Street Dunedin 9011"
"927",317966,"20 Forbes Street Dunedin","20 Forbes Street Dunedin 9011"
"928",317967,"18A Forbes Street Dunedin","17 Holyport Close Fairfield Dunedin 9018"
"929",317968,"18 Forbes Street Dunedin","18 Forbes Street Dunedin 9011"
"930",317969,"16 Forbes Street Dunedin","PO Box 5711 Moray Place Dunedin 9058"
"931",317970,"14 Forbes Street Dunedin","14 Forbes Street Dunedin 9011"
"932",317971,"10 Forbes Street Dunedin","10 Forbes Street Dunedin 9011"
"933",317972,"8 Forbes Street Dunedin","8 Forbes Street Dunedin 9011"
"934",317973,"6 Forbes Street Dunedin","6 Forbes Street Dunedin 9011"
"935",317974,"4 Renfrew Street Dunedin","4 Renfrew Street Dunedin 9011"
"936",317975,"6 Renfrew Street Dunedin","6 Renfrew Street Dunedin 9011"
"937",317976,"8 Renfrew Street Dunedin","8 Renfrew Street Dunedin 9011"
"938",317977,"10 Renfrew Street Dunedin","10 Renfrew Street Dunedin 9011"
"939",317978,"135 Oakwood Avenue Dunedin","PO Box 386 Mosgiel 9053"
"940",317979,"131 Oakwood Avenue Dunedin",NA
"941",317980,"129 Oakwood Avenue Dunedin","129 Oakwood Avenue Dunedin 9011"
"942",317981,"127 Oakwood Avenue Dunedin","127 Oakwood Avenue Dunedin 9011"
"943",317982,"125 Oakwood Avenue Dunedin","125 Oakwood Avenue Dunedin 9011"
"944",317983,"123 Oakwood Avenue Dunedin","123 Oakwood Avenue Dunedin 9011"
"945",317984,"2A Renfrew Street Dunedin","2A Renfrew Street Dunedin 9011"
"946",317985,"2B Renfrew Street Dunedin","2B Renfrew Street Dunedin 9011"
"947",317986,"121 Oakwood Avenue Dunedin","121 Oakwood Avenue Dunedin 9011"
"948",317987,"119 Oakwood Avenue Dunedin","119 Oakwood Avenue Dunedin 9011"
"949",317988,"117 Oakwood Avenue Dunedin","117 Oakwood Avenue Dunedin 9011"
"950",317989,"115 Oakwood Avenue Dunedin","115 Oakwood Avenue Dunedin 9011"
"951",317990,"113 Oakwood Avenue Dunedin","113 Oakwood Avenue Dunedin 9011"
"952",317991,"111 Oakwood Avenue Dunedin","111 Oakwood Avenue Dunedin 9011"
"953",317992,"6 Lancefield Street Dunedin","6 Lancefield Street Dunedin 9011"
"954",317993,"54 Oakwood Avenue Dunedin","54 Oakwood Avenue Dunedin 9011"
"955",317994,"56 Oakwood Avenue Dunedin","56 Oakwood Avenue Dunedin 9011"
"956",317995,"58 Oakwood Avenue Dunedin","34 Hawthorn Avenue Dunedin 9011"
"957",317996,"60 Oakwood Avenue Dunedin","60 Oakwood Avenue Dunedin 9011"
"958",317997,"62 Oakwood Avenue Dunedin","28/216 Manuka Road Bayview Auckland 0629"
"959",317998,"64 Oakwood Avenue Dunedin","64 Oakwood Avenue Dunedin 9011"
"960",317999,"66 Oakwood Avenue Dunedin","66 Oakwood Avenue Dunedin 9011"
"961",318000,"68 Oakwood Avenue Dunedin",NA
"962",318001,"70 Oakwood Avenue Dunedin","70 Oakwood Avenue Dunedin 9011"
"963",318002,"72 Oakwood Avenue Dunedin","72 Oakwood Avenue Dunedin 9011"
"964",318003,"74 Oakwood Avenue Dunedin",NA
"965",318004,"78 Oakwood Avenue Dunedin","PO Box 701 Wanaka 9343"
"966",318005,"80 Oakwood Avenue Dunedin","Ramsay Family Trust 80 Oakwood Avenue Dunedin 9011"
"967",318006,"82 Oakwood Avenue Dunedin","82 Oakwood Avenue Dunedin 9011"
"968",318007,"80A Oakwood Avenue Dunedin","80A Oakwood Avenue Dunedin 9011"
"969",318008,"86 Oakwood Avenue Dunedin","86 Oakwood Avenue Dunedin 9011"
"970",318009,"90 Oakwood Avenue Dunedin",NA
"971",318010,"92 Oakwood Avenue Dunedin","92 Oakwood Avenue Dunedin 9011"
"972",318011,"175 Glenpark Avenue Dunedin","175 Glenpark Avenue Dunedin 9011"
"973",318012,"173 Glenpark Avenue Dunedin","173 Glenpark Avenue Dunedin 9011"
"974",318013,"171 Glenpark Avenue Dunedin","171 Glenpark Avenue Dunedin 9011"
"975",318014,"167 Glenpark Avenue Dunedin","167 Glenpark Avenue Dunedin 9011"
"976",318015,"165 Glenpark Avenue Dunedin","165 Glenpark Avenue Dunedin 9011"
"977",318016,"163 Glenpark Avenue Dunedin","163 Glenpark Avenue Dunedin 9011"
"978",318017,"161 Glenpark Avenue Dunedin","161 Glenpark Avenue Dunedin 9011"
"979",318018,"159 Glenpark Avenue Dunedin","159 Glenpark Avenue Dunedin 9011"
"980",318019,"157 Glenpark Avenue Dunedin","60 Herbert Street Gladstone Invercargill 9810"
"981",318020,"155 Glenpark Avenue Dunedin","155 Glenpark Avenue Dunedin 9011"
"982",318021,"153 Glenpark Avenue Dunedin","153 Glenpark Avenue Dunedin 9011"
"983",318022,"151 Glenpark Avenue Dunedin","151 Glenpark Avenue Dunedin 9011"
"984",318023,"147 Glenpark Avenue Dunedin","147 Glenpark Avenue Dunedin 9011"
"985",318024,"145 Glenpark Avenue Dunedin","145 Glenpark Avenue Dunedin 9011"
"986",318025,"143 Glenpark Avenue Dunedin","143 Glenpark Avenue Dunedin 9011"
"987",318026,"141 Glenpark Avenue Dunedin","141 Glenpark Avenue Dunedin 9011"
"988",318027,"133 Glenpark Avenue Dunedin","133 Glenpark Avenue Dunedin 9011"
"989",318028,"135 Glenpark Avenue Dunedin","135 Glenpark Avenue Dunedin 9011"
"990",318029,"135A Glenpark Avenue Dunedin","PO Box 7091 Mornington Dunedin 9040"
"991",318030,"215 Forfar Street Dunedin","215 Forfar Street Dunedin 9011"
"992",318031,"211 Forfar Street Dunedin","370 Pillans Road RD 2 Balclutha 9272"
"993",318032,"209 Forfar Street Dunedin","209 Forfar Street Dunedin 9011"
"994",318033,"207 Forfar Street Dunedin","41 Three Mile Hill Road Dunedin 9010"
"995",318034,"205 Forfar Street Dunedin","205 Forfar Street Dunedin 9011"
"996",318035,"203 Forfar Street Dunedin","203 Forfar Street Dunedin 9011"
"997",318036,"201 Forfar Street Dunedin","201 Forfar Street Dunedin 9011"
"998",318037,"199 Forfar Street Dunedin","199 Forfar Street Dunedin 9011"
"999",318038,"159 Forfar Street Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"1000",318039,"195 Forfar Street Dunedin","2/118 Carroll Street Dunedin 9016"
"1001",318040,"62 Maryhill Terrace Dunedin","62 Maryhill Terrace Dunedin 9011"
"1002",318041,"125 Glenpark Avenue Dunedin","125 Glenpark Avenue Dunedin 9011"
"1003",318042,"127 Glenpark Avenue Dunedin","127 Glenpark Avenue Dunedin 9011"
"1004",318044,"178 Forfar Street Dunedin","178 Forfar Street Dunedin 9011"
"1005",318045,"176 Forfar Street Dunedin","176 Forfar Street Dunedin 9011"
"1006",318046,"182 Forfar Street Dunedin","182 Forfar Street Dunedin 9011"
"1007",318047,"66 Maryhill Terrace Dunedin","66 Maryhill Terrace Dunedin 9011"
"1008",318048,"174 Forfar Street Dunedin","Auckland Central Regional Office PO Box 74598 Greenlane Auckland 1546"
"1009",318049,"170 Forfar Street Dunedin","23 Allan Street RD 9 Invercargill 9879"
"1010",318050,"168 Forfar Street Dunedin","168 Forfar Street Dunedin 9011"
"1011",318051,"166 Forfar Street Dunedin","166 Forfar Street Dunedin 9011"
"1012",318052,"164 Forfar Street Dunedin","164 Forfar Street Dunedin 9011"
"1013",318053,"32 Kirriemuir Street Dunedin","32 Kirriemuir Street Dunedin 9011"
"1014",318054,"30 Kirriemuir Street Dunedin","30 Kirriemuir Street Dunedin 9011"
"1015",318055,"28 Kirriemuir Street Dunedin","28 Kirriemuir Street Dunedin 9011"
"1016",318056,"26 Kirriemuir Street Dunedin","26 Kirriemuir Street Dunedin 9011"
"1017",318057,"24 Kirriemuir Street Dunedin","24 Kirriemuir Street Dunedin 9011"
"1018",318058,"20 Kirriemuir Street Dunedin","20 Kirriemuir Street Dunedin 9011"
"1019",318059,"18 Kirriemuir Street Dunedin","18 Kirriemuir Street Dunedin 9011"
"1020",318060,"16 Kirriemuir Street Dunedin","16 Kirriemuir Street Dunedin 9011"
"1021",318061,"14 Kirriemuir Street Dunedin","14 Kirriemuir Street Dunedin 9011"
"1022",318062,"12 Kirriemuir Street Dunedin","141 Forfar Street Dunedin 9011"
"1023",318063,"10 Kirriemuir Street Dunedin","Christine Vaughan Family Trust 10 Kirriemuir Street Dunedin 9011"
"1024",318064,"8 Kirriemuir Street Dunedin","8 Kirriemuir Street Dunedin 9011"
"1025",318065,"4 Kirriemuir Street Dunedin","52 Brockville Road Dunedin 9011"
"1026",318066,"2 Kirriemuir Street Dunedin","2 Kirriemuir Street Dunedin 9011"
"1027",318067,"92 Forfar Street Dunedin","92 Forfar Street Dunedin 9011"
"1028",318068,"90A Forfar Street Dunedin","90A Forfar Street Dunedin 9011"
"1029",318069,"80 Forfar Street Dunedin","80 Forfar Street Dunedin 9011"
"1030",318070,"16 Dacre Court Dunedin","16 Dacre Court Dunedin 9011"
"1031",318071,"12 Dacre Court Dunedin","12 Dacre Court Dunedin 9011"
"1032",318072,"8 Dacre Court Dunedin","8 Dacre Court Dunedin 9011"
"1033",318073,"91 Leckhampton Court Dunedin","91 Leckhampton Court Dunedin 9011"
"1034",318074,"97 Leckhampton Court Dunedin","97 Leckhampton Court Dunedin 9011"
"1035",318075,"126 Maryhill Terrace Dunedin","126 Maryhill Terrace Dunedin 9011"
"1036",318076,"86 Forfar Street Dunedin","86 Forfar Street Dunedin 9011"
"1037",318077,"88 Forfar Street Dunedin","88 Forfar Street Dunedin 9011"
"1038",318078,"116 Maryhill Terrace Dunedin","116 Maryhill Terrace Dunedin 9011"
"1039",318079,"108 Maryhill Terrace Dunedin","108 Maryhill Terrace Dunedin 9011"
"1040",318080,"90 Forfar Street Dunedin","90 Forfar Street Dunedin 9011"
"1041",318081,"110 Maryhill Terrace Dunedin","110 Maryhill Terrace Dunedin 9011"
"1042",318082,"106 Maryhill Terrace Dunedin","108 Maryhill Terrace Dunedin 9011"
"1043",318083,"106A Maryhill Terrace Dunedin","106A Maryhill Terrace Dunedin 9011"
"1044",318084,"102 Maryhill Terrace Dunedin","23 Waireka Street Ravensbourne Dunedin 9022"
"1045",318085,"100 Maryhill Terrace Dunedin","100 Maryhill Terrace Dunedin 9011"
"1046",318086,"98 Maryhill Terrace Dunedin","98 Maryhill Terrace Dunedin 9011"
"1047",318087,"94 Maryhill Terrace Dunedin","94 Maryhill Terrace Dunedin 9011"
"1048",318088,"92 Maryhill Terrace Dunedin","92 Maryhill Terrace Dunedin 9011"
"1049",318089,"90A Maryhill Terrace Dunedin","90A Maryhill Terrace Dunedin 9011"
"1050",318090,"88A Maryhill Terrace Dunedin","88A Maryhill Terrace Dunedin 9011"
"1051",318091,"88 Maryhill Terrace Dunedin","88 Maryhill Terrace Dunedin 9011"
"1052",318092,"86 Maryhill Terrace Dunedin","86 Maryhill Terrace Dunedin 9011"
"1053",318093,"84A Maryhill Terrace Dunedin","PO Box 6312 Dunedin North Dunedin 9059"
"1054",318094,"84B Maryhill Terrace Dunedin","2/367 Whitford Road RD 1 Howick 2571"
"1055",318095,"82A Maryhill Terrace Dunedin","82A Maryhill Terrace Dunedin 9011"
"1056",318096,"82B Maryhill Terrace Dunedin","82B Maryhill Terrace Dunedin 9011"
"1057",318097,"80 Maryhill Terrace Dunedin","80 Maryhill Terrace Dunedin 9011"
"1058",318098,"78 Maryhill Terrace Dunedin","PO Box 65124 Mairangi Bay Auckland 0754"
"1059",318099,"76 Maryhill Terrace Dunedin","76 Maryhill Terrace Dunedin 9011"
"1060",318100,"74 Maryhill Terrace Dunedin","74 Maryhill Terrace Dunedin 9011"
"1061",318101,"68 Maryhill Terrace Dunedin","M A Cherian and S Joseph Family Trust 68 Maryhill Terrace Dunedin 9011"
"1062",318102,"64 Maryhill Terrace Dunedin","64 Maryhill Terrace Dunedin 9011"
"1063",318103,"9 Kirriemuir Street Dunedin","9 Kirriemuir Street Dunedin 9011"
"1064",318104,"11 Kirriemuir Street Dunedin","C/O Pembrey Investments Limited 17 Balmoral Avenue Mosgiel 9024"
"1065",318105,"15 Kirriemuir Street Dunedin","15 Kirriemuir Street Dunedin 9011"
"1066",318106,"25 Kirriemuir Street Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"1067",318107,"146 Forfar Street Dunedin","PO Box 7048 Mornington Dunedin 9040"
"1068",318108,"140 Forfar Street Dunedin","140 Forfar Street Dunedin 9011"
"1069",318109,"136 Forfar Street Dunedin","13A Westpoint Avenue Harbour View Lower Hutt 5010"
"1070",318110,"134 Forfar Street Dunedin","134 Forfar Street Dunedin 9011"
"1071",318111,"132 Forfar Street Dunedin","132 Forfar Street Dunedin 9011"
"1072",318112,"130 Forfar Street Dunedin",NA
"1073",318113,"128 Forfar Street Dunedin","128 Forfar Street Dunedin 9011"
"1074",318114,"124 Forfar Street Dunedin","124 Forfar Street Dunedin 9011"
"1075",318115,"118 Forfar Street Dunedin","871 Blueskin Road RD 2 Waitati 9085"
"1076",318116,"112 Forfar Street Dunedin","112 Forfar Street Dunedin 9011"
"1077",318117,"110 Forfar Street Dunedin","8 Strode Street Dunedin 9010"
"1078",318118,"45 Galloway Street Dunedin","45 Galloway Street Dunedin 9011"
"1079",318119,"44 Elgin Road Dunedin","3 Bowler Avenue Dunedin 9011"
"1080",318120,"48 Elgin Road Dunedin","48 Elgin Road Dunedin 9011"
"1081",318121,"2 Bowler Avenue Dunedin","56 Kenmure Road Dunedin 9011"
"1082",318122,"6 Bowler Avenue Dunedin","6 Bowler Avenue Dunedin 9011"
"1083",318123,"57A Galloway Street Dunedin","57A Galloway Street Dunedin 9011"
"1084",318124,"57B Galloway Street Dunedin","57B Galloway Street Dunedin 9011"
"1085",318125,"18 Bowler Avenue Dunedin",NA
"1086",318126,"20 Bowler Avenue Dunedin","C B and G J Stewart Family Trust 20 Bowler Avenue Dunedin 9011"
"1087",318127,"3 English Avenue Dunedin","3 English Avenue Dunedin 9011"
"1088",318128,"61 Galloway Street Dunedin","61 Galloway Street Dunedin 9011"
"1089",318129,"59 Galloway Street Dunedin","59 Galloway Street Dunedin 9011"
"1090",318130,"16 Bowler Avenue Dunedin","28 Aotea Street Dunedin 9013"
"1091",318131,"10 Bowler Avenue Dunedin","8 Bowler Avenue Dunedin 9011"
"1092",318133,"51 Galloway Street Dunedin","182 Forfar Street Dunedin 9011"
"1093",318134,"1 Bowler Avenue Dunedin","Pleace Children Family Trust 8 Bowler Avenue Dunedin 9011"
"1094",318138,"66 Elgin Road Dunedin","66 Elgin Road Dunedin 9011"
"1095",318139,"68 Elgin Road Dunedin","68 Elgin Road Dunedin 9011"
"1096",318140,"70 Elgin Road Dunedin","70 Elgin Road Dunedin 9011"
"1097",318141,"72 Elgin Road Dunedin","72 Elgin Road Dunedin 9011"
"1098",318142,"74 Elgin Road Dunedin","Nicholson Family Trust 5 Moncrieff Avenue Nelson 7010"
"1099",318143,"37 English Avenue Dunedin","37 English Avenue Dunedin 9011"
"1100",318144,"35 English Avenue Dunedin","35 English Avenue Dunedin 9011"
"1101",318145,"9 Bowler Avenue Dunedin",NA
"1102",318146,"3 Bowler Avenue Dunedin","3 Bowler Avenue Dunedin 9011"
"1103",318147,"22 English Avenue Dunedin",NA
"1104",318148,"15 Stansfield Street Dunedin","12 Mulford Street Concord Dunedin 9018"
"1105",318149,"24 English Avenue Dunedin","C/O Nidd Property Management PO Box 6099 Dunedin North Dunedin 9059"
"1106",318150,"26 English Avenue Dunedin","PO Box 1012 Dunedin 9054"
